event_name,start_date,end_date,location,organization_url,cfp_url,sponsors,cfp_due_date,organization_name,region,paid_or_free,event_url,tags,event_type,price_range,acronym,url_twitter,url_linkedin,image_url,language,featured,hash_tag,virtual,in_person,price,code_of_conduct_url,url_other
PyCon Slovakia,2024-03-15,2024-03-17,,https://2024.pycon.sk/,,,,,,,,,,,,,,,,,,,,,,
PyTexas,2024-04-20,2024-04-21,"Austin Central Public Library. Austin, Texas, United States of America. USA",https://www.pytexas.org,,,,,,,,,,,,,,,,,,,,,,
PyCon US,2024-05-15,2024-05-23,,https://us.pycon.org,,,,,,,,,,,,,,,,,,,,,,
PyCon Italia,2024-05-22,2024-05-25,,https://pycon.it/en,,,,,,,,,,,,,,,,,,,,,,
FOSDEM,2023-02-04,2023-02-05,"ULB Solbosch. Brussels, Brussels, Belgium. BEL",https://fosdem.org/2023,https://fosdem.org/submit,https://fosdem.org/2023/about/sponsors,2022-12-15,,,,,,,,,,,,,,,,,,,
PyCon France,2023-02-16,2023-02-19,"Université Bordeaux. Bordeaux, Nouvelle-Aquitaine, France. FRA",https://www.pycon.fr/2023,https://cfp-2023.pycon.fr/cfp,https://www.pycon.fr/2023/fr/support.html,2023-01-07,,,,,,,,,,,,,,,,,,,
PyCon Namibia,2023-02-21,2023-02-23,,https://na.pycon.org,https://pretalx.com/pycon-namibia-2022/cfp,https://na.pycon.org/sponsorship,2023-01-22,,,,,,,,,,,,,,,,,,,
PyCon Philippines,2023-02-25,2023-02-26,"Intramuros. Manila, National Capital Region, Philippines. PHL",https://pycon-2023.python.ph,,,2022-12-23,,,,,,,,,,,,,,,,,,,
GeoPython,2023-03-06,2023-03-08,"FHNW. Basel, Basel-Stadt, Switzerland. CHE",https://2023.geopython.net,https://submit.geopython.net/geopython-2023/cfp,,2022-12-16,,,,,,,,,,,,,,,,,,,
Python Web Conf,2023-03-13,2023-03-17,"Online. Fishers, Indiana, United States of America. USA",https://2023.pythonwebconf.com,,,2022-10-01,,,,,,,,,,,,,,,,,,,
PyCascades,2023-03-18,2023-03-19,"SFU Harbour Centre (Vancouver Campus). Vancouver, British Columbia, Canada. CAN",https://2023.pycascades.com,,https://2023.pycascades.com/sponsors/become-a-sponsor,2022-11-16,,,,,,,,,,,,,,,,,,,
PyTexas,2023-04-01,2023-04-02,"Austin Central Public Library. Austin, Texas, United States of America. USA",https://www.pytexas.org,https://pretalx.com/pytexas-2023,https://www.pytexas.org/sponsors/prospectus,2023-01-15,,,,,,,,,,,,,,,,,,,
PyCon Germany & PyData Berlin,2023-04-17,2023-04-19,"bcc Berlin Congress Center. Berlin, Brandenburg, Germany. DEU",https://2023.pycon.de,https://2023.pycon.de/blog/call-for-proposals,https://2023.pycon.de/blog/pyconde-pydata-berlin-call-for-sponsors,2023-01-05,,,,,,,,,,,,,,,,,,,
PyCon US,2023-04-19,2023-04-27,"Salt Palace Convention Center. Salt Lake City, Utah, United States of America. USA",https://us.pycon.org/2023,https://us.pycon.org/2023/speaking/guidelines,https://us.pycon.org/2023/sponsorship/why-sponsor,2022-12-11,,,,,,,,,,,,,,,,,,,
PyData Seattle,2023-04-26,2023-04-28,,https://pydata.org/seattle2023/,,https://pydata.org/seattle2023/wp-content/uploads/2022/12/PyData-2023-Sponsorship-Prospectus.pdf,2023-02-06,,,,,,,,,,,,,,,,,,,
JupyterCon,2023-05-10,2023-05-12,"Cité des Sciences. Paris, Île-de-France, France. FRA",https://jupytercon.com,,https://www.jupytercon.com/sponsors,2022-12-20,,,,,,,,,,,,,,,,,,,
PyCon Lithuania,2023-05-17,2023-05-20,"Vilnius University of Social sciences. Vilnius, Vilnius, Lithuania. LTU",https://pycon.lt/2023,,https://drive.google.com/file/d/1wznoPlxfrdHd_jI7ZqP3vRKMHSaRJatm/view?usp=sharing,2023-03-18,,,,,,,,,,,,,,,,,,,
Moscow Python Conf++,2023-05-19,2023-05-20,"Gorky Park. Moscow, Central Federal District, Russia. RUS",https://conf.python.ru/moscow/2023,https://cfp.conf.python.ru,,2023-04-17,,,,,,,,,,,,,,,,,,,
PyCon Italia,2023-05-25,2023-05-28,"Grand Hotel Mediterraneo. Florence, Tuscany, Italy. ITA",https://pycon.it/en,https://pycon.it/cfp,https://pycon.it/en/sponsor,2023-01-15,,,,,,,,,,,,,,,,,,,
DjangoCon Europe,2023-05-29,2023-06-02,"The Assembly Rooms. Edinburgh, Scotland, United Kingdom. GBR",https://2023.djangocon.eu,https://2023.djangocon.eu/call-for-proposals,https://2023.djangocon.eu/sponsors/information,2023-02-27,,,,,,,,,,,,,,,,,,,
PyData London,2023-06-02,2023-06-04,"Leonardo Royal Hotel London Tower Bridge. London, Greater London, United Kingdom. GBR",https://pydata.org/london2023,,https://pydata.org/london2023/sponsorship-opportunites,2023-03-13,,,,,,,,,,,,,,,,,,,
PyDay La Paz,2023-06-03,2023-06-03,,https://pyday.pylapaz.org/,,https://forms.gle/7SoVfzBgwYfv1Qw59,2023-03-30,,,,,,,,,,,,,,,,,,,
PyCon Colombia,2023-06-09,2023-06-11,,https://2023.pycon.co,https://2023.pycon.co/call-for-proposals,,2023-03-30,,,,,,,,,,,,,,,,,,,
PyCon Poland,2023-06-29,2023-07-02,,https://pl.pycon.org/2023,,https://pl.pycon.org/2023/sponsorship.pdf,2023-03-27,,,,,,,,,,,,,,,,,,,
PyCon Israel,2023-07-04,2023-07-05,,https://2023.pycon.org.il,https://cfp.pycon.org.il/conference2023/cfp,https://2023.pycon.org.il/#sponsorship,2023-04-02,,,,,,,,,,,,,,,,,,,
SciPy,2023-07-10,2023-07-16,"AT&T Center. Austin, Texas, United States of America. USA",https://www.scipy2023.scipy.org,https://www.scipy2023.scipy.org/present,https://www.scipy2023.scipy.org/sponsor,2023-03-01,,,,,,,,,,,,,,,,,,,
EuroPython,2023-07-17,2023-07-23,"The Prague Congress Centre. Prague, Bohemia, Czech Republic. CZE",https://europython.eu,https://ep2023.europython.eu/cfp,https://ep2023.europython.eu/sponsor/information,2023-03-26,,,,,,,,,,,,,,,,,,,
AfroPython Conf,2023-07-22,2023-07-22,,https://afropython.org/conf2023,https://bit.ly/conf2023-palestrantes,https://afropythonconf.org/#patrocinadores,2023-06-19,,,,,,,,,,,,,,,,,,,
PyCon Russia,2023-07-28,2023-07-29,"Digital Business Space. Moscow, Central Federal District, Russia. RUS",https://pycon.ru,https://pycon.ru/cfp,https://pycon.ru/partneram,2023-03-15,,,,,,,,,,,,,,,,,,,
PyCamp Leipzig,2023-07-29,2023-07-30,"Basislager Coworking. Leipzig, Saxony, Germany. DEU",https://barcamps.eu/python-barcamp-der-leipzig-python-user-group-2023,,,,,,,,,,,,,,,,,,,,,,
North Bay Python,2023-07-29,2023-07-30,"Reis River Ranch. Petaluma, California, United States of America. USA",https://2023.northbaypython.org,https://2023.northbaypython.org/speak,https://2023.northbaypython.org/sponsor,2023-05-19,,,,,,,,,,,,,,,,,,,
PyCon Korea,2023-08-11,2023-08-13,"COEX Grand Ballroom & ASEM Ballroom. Seoul, Seoul Capital Area, South Korea. KOR",https://2023.pycon.kr,https://2023.pycon.kr/cfp/apply,https://2023.pycon.kr/sponsor/join,2023-05-14,,,,,,,,,,,,,,,,,,,
EuroSciPy,2023-08-14,2023-08-18,"Kollegienhaus, University of Basel. Basel, Basel-Stadt, Switzerland. CHE",https://www.euroscipy.org/2023,https://www.euroscipy.org/2023/program.html,https://www.euroscipy.org/2023/sponsoring.html,2023-05-14,,,,,,,,,,,,,,,,,,,
DjangoCon Australia,2023-08-18,2023-08-18,"Adelaide Convention Centre. Tarndanya (Adelaide), Australia. AUS",https://2023.djangocon.com.au,https://2023.pycon.org.au/program,https://2023.pycon.org.au/sponsor,2023-05-14,,,,,,,,,,,,,,,,,,,
PyCon Australia,2023-08-18,2023-08-22,"Adelaide Convention Centre. Tarndanya (Adelaide), Australia. AUS",https://2023.pycon.org.au,https://2023.pycon.org.au/program,https://2023.pycon.org.au/sponsor,2023-05-15,,,,,,,,,,,,,,,,,,,
PyCon Latin America,2023-08-24,2023-08-26,,https://www.pylatam.org,https://www.papercall.io/pyconlatam23,https://www.pylatam.org/patrocinios/informacion,2023-05-07,,,,,,,,,,,,,,,,,,,
PyCon Malaysia,2023-08-26,2023-08-26,,https://pycon.my,https://www.papercall.io/pycon-my-2023,,2023-05-30,,,,,,,,,,,,,,,,,,,
PyCon Taiwan,2023-09-02,2023-09-03,,https://tw.pycon.org/2023,,https://tw.pycon.org/2023/en-us/sponsor,2023-03-31,,,,,,,,,,,,,,,,,,,
PyCon Estonia,2023-09-07,2023-09-08,"Astra building, Tallinn University. Tallinn, Harju, Estonia. EST",https://pycon.ee,https://pyconestonia.typeform.com/to/hBOEtTQ3,,2023-05-09,,,,,,,,,,,,,,,,,,,
PyCon Portugal,2023-09-07,2023-09-09,"Coimbra Business School. Coimbra, Coimbra, Portugal. PRT",https://2023.pycon.pt,https://2023.pycon.pt/talks/cfp,https://2023.pycon.pt/sponsors/sponsorship,2023-06-30,,,,,,,,,,,,,,,,,,,
PyData Amsterdam,2023-09-14,2023-09-16,"Kromhout Hal. Amsterdam, North Holland, The Netherlands. NLD",https://amsterdam.pydata.org,https://amsterdam2023.pydata.org/cfp/cfp,https://amsterdam.pydata.org/sponsor,2023-06-11,,,,,,,,,,,,,,,,,,,
PyCon CZ,2023-09-15,2023-09-17,"Gabriel Loci. Prague, Czech republic. CZE",https://cz.pycon.org/2023,https://cz.pycon.org/2023/cfp,https://cz.pycon.org/2023/sponsorship,2023-06-25,,,,,,,,,,,,,,,,,,,
Kiwi PyCon,2023-09-15,2023-09-17,"Ascot Park Hotel. Waihōpai (Invercargill), Aotearoa, New Zealand. NZL",https://kiwipycon.nz,https://kiwipycon.nz/call-for-proposals,https://kiwipycon.nz/sponsorship,2023-05-19,,,,,,,,,,,,,,,,,,,
PyCon Uganda,2023-09-21,2023-09-23,,https://ug.pycon.org,https://ug.pycon.org/speakers,https://ug.pycon.org/sponsors,2023-05-05,,,,,,,,,,,,,,,,,,,
Swiss Python Summit,2023-09-21,2023-09-21,"OST Eastern Switzerland University of Applied Sciences. Rapperswil, Rapperswil-Jona, Switzerland. CHE",https://www.python-summit.ch,https://www.python-summit.ch/cfp,https://www.python-summit.ch/helpus,2023-07-01,,,,,,,,,,,,,,,,,,,
PyCon UK,2023-09-22,2023-09-25,"Cardiff City Hall. Cardiff, Wales, United Kingdom. GBR",https://2023.pyconuk.org,https://2023.pyconuk.org/call-for-proposals/,https://2023.pyconuk.org/sponsorship,2023-06-30,,,,,,,,,,,,,,,,,,,
PyCon India,2023-09-29,2023-10-02,,https://in.pycon.org/2023,https://in.pycon.org/cfp/pycon-india-2023/proposals/,https://docs.google.com/forms/d/13MVcj2XEF1DfTmV3fPjq9SN5qzY22k3R7cJVKlfbhZ4/,2023-08-05,,,,,,,,,,,,,,,,,,,
PyCon South Africa,2023-10-05,2023-10-06,"Premier Splendid Inn. Umhlanga, Durban, South Africa. ZAF",https://za.pycon.org,https://za.pycon.org/talks/how-to-submit-a-talk,,2023-08-18,,,,,,,,,,,,,,,,,,,
